Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2950482,West Pharmaceutical Services Inc,WST,0.08%,Life Sciences Tools & Services,US,---,"$11,650,876.32","35,774"
,2511920,Lennar Corp,LEN,0.08%,Homebuilding,US,---,"$11,648,031.27","66,793"
,BZ07BW4,Monster Beverage Corp,MNST,0.08%,Soft Drinks & Non-alcoholic Beverages,US,---,"$11,475,805.67","208,159"
,2651086,Nucor Corp,NUE,0.08%,Steel,US,---,"$11,410,862.54","73,766"
,B748CK2,Expedia Group Inc,EXPE,0.08%,"Hotels, Resorts & Cruise Lines",US,---,"$11,352,837.66","61,493"
,B4P9W92,Verisk Analytics Inc,VRSK,0.08%,Research & Consulting Services,US,---,"$11,346,502.86","38,566"
,2852533,Public Storage,PSA,0.08%,Self-Storage REITs,US,---,"$11,343,993.65","32,593"
,B1W9D46,Delta Air Lines Inc,DAL,0.08%,Passenger Airlines,US,---,"$11,307,691.42","177,181"
,B0BV2M7,Builders FirstSource Inc,BLDR,0.07%,Building Products,US,---,"$10,713,074.44","57,452"
,B0T7YX2,Live Nation Entertainment Inc,LYV,0.07%,Movies & Entertainment,US,---,"$10,675,941.50","77,222"
,2089212,AMETEK Inc,AME,0.07%,Electrical Components & Equipment,US,---,"$10,660,771.10","54,845"
,2592174,Microchip Technology Inc,MCHP,0.07%,Semiconductors,US,---,"$10,617,204.82","155,746"
,2692687,Brown & Brown Inc,BRO,0.07%,Insurance Brokers,US,---,"$10,303,410.00","91,100"
,2812452,Simon Property Group Inc,SPG,0.07%,Retail REITs,US,---,"$10,246,165.20","55,807"
,BM99VY2,Texas Pacific Land Corp,TPL,0.07%,Oil & Gas Exploration & Production,US,---,"$9,955,759.98","6,222"
,2459202,IDEXX Laboratories Inc,IDXX,0.07%,Health Care Equipment,US,---,"$9,607,886.75","22,781"
,BHKD3S6,Dell Technologies Inc,DELL,0.07%,"Technology Hardware, Storage & Peripherals",US,---,"$9,584,050.44","75,116"
,B0796X4,Dexcom Inc,DXCM,0.07%,Health Care Equipment,US,---,"$9,403,956.21","120,579"
,2674458,Paychex Inc,PAYX,0.06%,Human Resource & Employment Services,US,---,"$9,250,846.15","63,245"
,BVFTF03,Iron Mountain Inc,IRM,0.06%,Other Specialized REITs,US,---,"$9,129,690.41","73,823"
,2523044,Carnival Corp,CCL,0.06%,"Hotels, Resorts & Cruise Lines",US,---,"$8,997,617.17","353,819"
,2098876,Yum! Brands Inc,YUM,0.06%,Restaurants,US,---,"$8,864,510.94","63,801"
,BRC3N84,TE Connectivity PLC,TEL,0.06%,Electronic Manufacturing Services,US,---,"$8,809,540.40","58,295"
,BZ6VT82,Charter Communications Inc,CHTR,0.06%,Cable & Satellite,US,---,"$8,739,184.48","22,015"
,B3Z5T14,Garmin Ltd,GRMN,0.06%,Consumer Electronics,US,---,"$8,714,048.80","40,988"
,2045623,ANSYS Inc,ANSS,0.06%,Application Software,US,---,"$8,612,834.10","24,531"
,2310194,Electronic Arts Inc,EA,0.06%,Interactive Home Entertainment,US,---,"$8,537,845.55","52,165"
